time,fitness,extraction,metabolic,population
8.500000000000000000e+05,1.199157302507298128e+00,1.108837652873091439e+00,9.246980554749222314e-01,5.400000000000000000e+01
8.550000000000000000e+05,1.199157302507298128e+00,1.108837652873091439e+00,9.246980554749222314e-01,5.400000000000000000e+01
8.600000000000000000e+05,1.199157302507298128e+00,1.108837652873091439e+00,9.246980554749222314e-01,5.400000000000000000e+01
8.650000000000000000e+05,1.199157302507298128e+00,1.108837652873091439e+00,9.246980554749222314e-01,5.400000000000000000e+01
8.700000000000000000e+05,1.199157302507298128e+00,1.108837652873091439e+00,9.246980554749222314e-01,5.400000000000000000e+01
8.750000000000000000e+05,1.199809860999574207e+00,1.109423315892232642e+00,9.246833724506864360e-01,5.500000000000000000e+01
8.800000000000000000e+05,1.200608723822086610e+00,1.109977315351796223e+00,9.245240286141940267e-01,5.400000000000000000e+01
8.850000000000000000e+05,1.202060599396404861e+00,1.111566034663643343e+00,9.247269360551600981e-01,5.400000000000000000e+01
8.900000000000000000e+05,1.202060599396404861e+00,1.111566034663643343e+00,9.247269360551600981e-01,5.400000000000000000e+01
8.950000000000000000e+05,1.202729312117099436e+00,1.112413172391712779e+00,9.249114206627858659e-01,5.500000000000000000e+01
9.000000000000000000e+05,1.203411828321498067e+00,1.112535839838139751e+00,9.244752594566761905e-01,5.400000000000000000e+01
9.050000000000000000e+05,1.203411828321498067e+00,1.112535839838139751e+00,9.244752594566761905e-01,5.400000000000000000e+01
9.100000000000000000e+05,1.203411828321498067e+00,1.112535839838139751e+00,9.244752594566761905e-01,5.400000000000000000e+01
9.150000000000000000e+05,1.203411828321498067e+00,1.112535839838139751e+00,9.244752594566761905e-01,5.400000000000000000e+01
9.200000000000000000e+05,1.204299281769776631e+00,1.113365988458222766e+00,9.244831867497917965e-01,5.500000000000000000e+01
9.250000000000000000e+05,1.204299281769776631e+00,1.113365988458222766e+00,9.244831867497917965e-01,5.500000000000000000e+01
9.300000000000000000e+05,1.204994064783559526e+00,1.114175301895827142e+00,9.246261307317280576e-01,5.400000000000000000e+01
9.350000000000000000e+05,1.204994064783559526e+00,1.114175301895827142e+00,9.246261307317280576e-01,5.400000000000000000e+01
9.400000000000000000e+05,1.205718014930041493e+00,1.114509040955093067e+00,9.243565882142893431e-01,5.500000000000000000e+01
9.450000000000000000e+05,1.205718014930041493e+00,1.114509040955093067e+00,9.243565882142893431e-01,5.500000000000000000e+01
9.500000000000000000e+05,1.206461879184653752e+00,1.115250211758303189e+00,9.244026227545389940e-01,5.400000000000000000e+01
9.550000000000000000e+05,1.206461879184653752e+00,1.115250211758303189e+00,9.244026227545389940e-01,5.400000000000000000e+01
9.600000000000000000e+05,1.206863875373631156e+00,1.115891197877651342e+00,9.246217918934808155e-01,5.500000000000000000e+01
9.650000000000000000e+05,1.206863875373631156e+00,1.115891197877651342e+00,9.246217918934808155e-01,5.500000000000000000e+01
9.700000000000000000e+05,1.209057645534341807e+00,1.118008252203336772e+00,9.246938329974093707e-01,5.400000000000000000e+01
9.750000000000000000e+05,1.209813855973048025e+00,1.118707599890577109e+00,9.246939021154890748e-01,5.500000000000000000e+01
9.800000000000000000e+05,1.209813855973048025e+00,1.118707599890577109e+00,9.246939021154890748e-01,5.500000000000000000e+01
9.850000000000000000e+05,1.209813855973048025e+00,1.118707599890577109e+00,9.246939021154890748e-01,5.500000000000000000e+01
9.900000000000000000e+05,1.210469878584287118e+00,1.119754608206379176e+00,9.250688940541095251e-01,5.400000000000000000e+01
9.950000000000000000e+05,1.210938149495000671e+00,1.120147191097388140e+00,9.250358547316834823e-01,5.500000000000000000e+01
